array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
125000;88;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2540824;83408;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;89;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959194;972497;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;89;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2690263;83381;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;90;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959395;972460;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;90;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2471896;83267;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;91;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959384;972139;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;91;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2463049;83323;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;92;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959084;972169;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;92;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2506873;83355;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;93;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959541;972443;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;93;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2696220;83391;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;94;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959247;972496;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;94;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2638457;83315;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;95;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959490;972691;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;95;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2745330;83377;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;96;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959172;972245;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;96;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2641108;83388;Sat Sep 23 21:58:13 BRT 2023;9.0
125000;97;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959485;972349;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;97;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2544237;83420;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;98;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959214;972377;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;98;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2628013;83345;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;99;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959183;972444;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;99;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2527418;83329;Sat Sep 23 21:58:13 BRT 2023;8.0
250000;100;MergeSort;Sat Sep 23 21:58:13 BRT 2023;4168190;2069406;Sat Sep 23 21:58:13 BRT 2023;25.0
250000;100;QuickSort;Sat Sep 23 21:58:13 BRT 2023;5545570;166698;Sat Sep 23 21:58:13 BRT 2023;15.0
250000;101;MergeSort;Sat Sep 23 21:58:13 BRT 2023;4168378;2069786;Sat Sep 23 21:58:13 BRT 2023;24.0
